"Human Resources (HR)
                            Decathlon Sports India                        Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             22,000 /month"
"Marketing
                            Unacademy                        Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             30,000 /monthThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Operations
                            Confederation Of Indian Industry (CII)                        Ahmedabad","Ahmedabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             6,000 /month"
"Business Development (Sales)
                            MakeMyTrip                        ChennaiCoimbatorePune","Chennai, Coimbatore, Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18,000 /month"
"Business Development (Sales)
                            D for Delhi                        DelhiGurgaon","Delhi, Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5,000 /month"
"Events & Operations
                            BookMyShow                        Bangalore","Actively hiring
                    Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7,500 /month"
"Media & Public Relations (PR)
                            PR Pundit                        Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5,000 /month"
"Business Development (Sales)
                            Urban Company                        Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20,000 /month"
"Human Resources (HR)
                            Justdial Limited                        Chennai","Chennai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7,000 /month"
"Business Development (Sales)
                            Fashion TV India                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000-30,000 /month"
"Sales & Marketing
                            BYJU'S The Learning App                        ThaneNavi MumbaiMumbai","Thane, Navi Mumbai, Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20,000 /month"
"Business Development (Sales)
                            Urban Company                        Hyderabad","Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             16,000 /month"
"Video Content Development
                            Internshala                        Gurgaon","Actively hiring
                    Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             20,000 /month"
"Internshala Student Partner
                            Internshala                        Work From Home","Work From Home                
                                Start Date                            Duration
                                Stipend                            Performance Based"
"Fundraising
                            Tare Zameen Foundation                        Work From Home","Actively hiring
                     Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1,000 /month +  Incentives"
"Teaching
                            Nerdy Academy                        BhilaiDurgMumbaiRaipur","Actively hiring
                    Bhilai, Durg, Mumbai, Raipur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7,000-25,000 /month"
"Business Development (Sales)
                            ZAPS Marketing Private Limited                        Hyderabad","Actively hiring
                    Hyderabad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             3,000-20,000 /month"
"Teaching
                            Teach For India                        Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            UnpaidThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Business Development (Sales)
                            BYJU'S The Learning App                        Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             25,000 /month"
"Social Media Marketing
                            SBI Funds Management Limited                        Kota","Kota                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2,000 /monthThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Operations
                            SBI Funds Management Limited                        Kota","Kota                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2,000 /monthThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Business Development (Sales)
                            NoBroker Technologies Solutions Private Limited                        Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /month"
"Business Development (Sales)
                            Decathlon Sports India Private Limited                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000-25,000 /month"
"Product Operations
                            MakeMyTrip                        Gurgaon","Gurgaon                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /month"
"Graphic Design
                            Unacademy                        Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /monthThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Content Writing
                            Unacademy                        Bangalore","Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /monthThe hiring for this internship will be online and the company will provide work from home/ deferred joining till current COVID-19 situation improves"
"Corporate Social Responsibility
                            ICICI Securities Limited                        Navi Mumbai","Navi Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /month"
"Marketing
                            BYJU'S The Learning App                        AhmedabadNadiadSuratAnandVadodaraPanchmahal","Ahmedabad, Nadiad, Surat, Anand, Vadodara, Panchmahal                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             18,000 /month"
"Human Resources (HR)
                            DCB Bank                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7,000 /month"
"Volunteering
                            Make A Difference                        AhmedabadChennaiDehradunDelhiGunturLucknowMangaluruMysuruPuneBangaloreHyderabadMumbaiGwaliorNagpurChandigarh","Ahmedabad, Chennai, Dehradun, Delhi, Guntur, Lucknow, Mangaluru, Mysuru, Pune, Bangalore, Hyderabad, Mumbai, Gwalior, Nagpur, Chandigarh                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Unpaid"
"Operations
                            HCL TSS                        DelhiNoida","Delhi, Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             14,000-18,000 /month"
"Environment Education Project
                            WWF-India                        Pune","Pune                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Finance And Accounting
                            Thomas Cook India Limited                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             2,500 /month"
